Feature Description,Release Date,,,,,,,,,,,,,,,,
"Sidebar switcher allows users to access Bookmarks, History and Synced Tabs panels easily, quickly switch between them, move the sidebar to another side of the browser window, or close the sidebar. Now, keyboard users would be able to do it all with ease too, with or without any assistive technology running, without needing to memorize keyboard shortcuts to access these panels.",8/1/2023,,,,,,,,,,,,,,,,
"When an update is available in English locales, users will now have access to the release notes in the update notification prompt in the form of a ""Learn More"" link.",8/1/2023,,,,,,,,,,,,,,,,
It is now possible to copy any file from your operating system and paste it into Firefox.,8/1/2023,,,,,,,,,,,,,,,,
"You asked, and we listened! The volume slider is now available in Picture-in-Picture.",8/1/2023,,,,,,,,,,,,,,,,
We added the possibility to edit existing text annotations in the PDF reader.,8/1/2023,,,,,,,,,,,,,,,,
"The keyboard shortcut to reopen closed tabs (Ctrl + shift + t or Command + shift + t depending on your operating system) now reopens last closed tab or last closed window, in the order items were closed. If there aren't any tabs or windows to reopen, this command restores the previous session. This change is in anticipation of upcoming changes to recently closed tabs.",8/1/2023,,,,,,,,,,,,,,,,
Migrating from another browser? Now you can bring over payment methods you've saved in Chrome-based browsers to Firefox.,7/4/2023,,,,,,,,,,,,,,,,
Hardware video decoding is now enabled for Intel GPUs on Linux.,7/4/2023,,,,,,,,,,,,,,,,
"The Tab Manager dropdown now features close buttons, so you can close tabs more quickly.",7/4/2023,,,,,,,,,,,,,,,,
We've refreshed and streamlined the user interface for importing data in from other browsers.,7/4/2023,,,,,,,,,,,,,,,,
Users without platform support for H264 video decoding can now fallback to Cisco's OpenH264 plugin for playback.,7/4/2023,,,,,,,,,,,,,,,,
Undo and redo are now available in Password fields.,7/4/2023,,,,,,,,,,,,,,,,
"On Linux, middle clicks on the new tab button will now open the xclipboard contents in the new tab. If the xclipboard content is a URL then that URL is opened, any other text is opened with your default search provider.",7/4/2023,,,,,,,,,,,,,,,,
"For users with a Firefox Colorways built-in theme, the theme will be automatically migrated to the same theme hosted on addons.mozilla.org for Firefox profiles that have disabled add-ons auto-updates. This will allow users to keep their Colorways theme when they are later removed from Firefox installer files.",7/4/2023,,,,,,,,,,,,,,,,
"Certain Firefox users may come across a message in the extensions panel indicating that their add-ons are not allowed on the site currently open. We have introduced a new back-end feature to only allow some extensions monitored by Mozilla to run on specific websites for various reasons, including security concerns.",7/4/2023,,,,,,,,,,,,,,,,
Added UI to manage the DNS over HTTPS exception list.,6/6/2023,,,,,,,,,,,,,,,,
